called directly with directory .
Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/node_modules/isarray/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/end-of-stream/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/nopt/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/pumpify/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/sorted-union-stream/node_modules/stream-iterate/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/pump/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/duplexify/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/through2/node_modules/xtend/.npmignore

Hash: 4fe79b6fb2d539633f983c74c8677ea9 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/npmlog/node_modules/are-we-there-yet/node_modules/delegates/.npmignore

Hash: 4fe79b6fb2d539633f983c74c8677ea9 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/node_modules/clone/.npmignore

Hash: 4fe79b6fb2d539633f983c74c8677ea9 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/normalize-git-url/.npmignore

Hash: c7a63a0179eb0e32e7a53a92b891ff0f Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/test/modules/test2.js

Hash: 89380c158d89267e015f3f5c2c15aac8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/hawk/node_modules/hoek/test/modules/test1.js

